pack_code,pack_name,type_code,type_name,subtype_code,subtype_name,faction_code,faction_name,position,exceptional,myriad,code,name,real_name,text/0,real_text,quantity,health_per_investigator,deck_limit,real_slot,traits,real_traits,is_unique,hidden,permanent,double_sided,url,subname,skill_willpower,skill_intellect,skill_combat,skill_agility,health,sanity,deck_requirements/size,deck_requirements/card/01006/90030,deck_requirements/card/01006/98005,deck_requirements/card/01006/01006,deck_requirements/card/01007/90031,deck_requirements/card/01007/98006,deck_requirements/card/01007/01007,deck_requirements/random/0/target,deck_requirements/random/0/value,deck_options/0/faction/0,deck_options/0/faction/1,deck_options/0/level/min,deck_options/0/level/max,deck_options/1/faction/0,deck_options/1/level/min,deck_options/1/level/max,flavor,illustrator,back_text,back_flavor,octgn_id,imagesrc,backimagesrc,deck_requirements/card/01008/90002,deck_requirements/card/01008/01008,deck_requirements/card/01009/90003,deck_requirements/card/01009/01009,deck_requirements/card/01010/90009,deck_requirements/card/01010/01010,deck_requirements/card/01011/90010,deck_requirements/card/01011/01011,deck_requirements/card/01012/90018,deck_requirements/card/01012/01012,deck_requirements/card/01013/90019,deck_requirements/card/01013/01013,deck_requirements/card/01014/01014,deck_requirements/card/01015/01015,cost,skill_wild,slot/0,restrictions/investigator/01001,restrictions/investigator/01002,restrictions/investigator/01003,restrictions/investigator/01004,restrictions/investigator/01005,xp,duplicated_by/0,duplicated_by/1,enemy_damage,enemy_horror,enemy_fight,enemy_evade,duplicate_of_code,duplicate_of_name,deck_requirements/card/02006/02006,deck_requirements/card/02007/02007,deck_options/1/limit,deck_options/1/error,deck_requirements/card/02008/02008,deck_requirements/card/02009/02009,deck_options/0/not,deck_options/0/trait/0,deck_options/1/faction/1,deck_options/2/level/min,deck_options/2/level/max,deck_options/2/limit,deck_options/2/error,deck_requirements/card/02010/98002,deck_requirements/card/02010/02010,deck_requirements/card/02011/98003,deck_requirements/card/02011/02011,deck_requirements/card/02012/02012,deck_requirements/card/02013/02013,deck_requirements/card/02014/02014,deck_requirements/card/02015/02015,restrictions/investigator/02001,restrictions/investigator/02002,restrictions/investigator/02003,restrictions/investigator/02004,restrictions/investigator/02005,victory,exile,deck_requirements/card/03007/03007,deck_requirements/card/03008/03008,deck_requirements/card/03009/03009,deck_options/1/trait/0,deck_requirements/card/03010/03010,deck_requirements/card/03011/03011,deck_requirements/card/03012/03012,deck_requirements/card/03013/03013,deck_requirements/card/03014/03014,deck_requirements/card/03015/03015,deck_options/1/uses/0,deck_options/1/uses/1,deck_options/2/trait/0,deck_requirements/card/03016/03016,deck_requirements/card/03017/03017,deck_requirements/card/03018/03018,deck_requirements/card/03019/03019,deck_options/0/faction/2,deck_options/0/faction/3,deck_options/0/faction/4,deck_options/0/atleast/factions,deck_options/0/atleast/min,deck_options/0/error,restrictions/investigator/03001,linked_to_code,linked_to_name,linked_card/pack_code,linked_card/pack_name,linked_card/type_code,linked_card/type_name,linked_card/subtype_code,linked_card/subtype_name,linked_card/faction_code,linked_card/faction_name,linked_card/id,linked_card/position,linked_card/exceptional,linked_card/myriad,linked_card/encounter_position,linked_card/code,linked_card/name,linked_card/real_name,linked_card/subname,linked_card/bonded_to,linked_card/bonded_count,linked_card/cost,linked_card/text/0,linked_card/real_text,linked_card/quantity,linked_card/skill_willpower,linked_card/skill_intellect,linked_card/skill_combat,linked_card/skill_agility,linked_card/skill_wild,linked_card/xp,linked_card/shroud,linked_card/clues,linked_card/clues_fixed,linked_card/doom,linked_card/health,linked_card/health_per_investigator,linked_card/sanity,linked_card/enemy_damage,linked_card/enemy_horror,linked_card/enemy_fight,linked_card/enemy_evade,linked_card/victory,linked_card/vengeance,linked_card/deck_limit,linked_card/slot/0,linked_card/real_slot,linked_card/stage,linked_card/traits,linked_card/real_traits,linked_card/deck_requirements,linked_card/deck_options/0,linked_card/restrictions,linked_card/flavor,linked_card/illustrator,linked_card/is_unique,linked_card/exile,linked_card/hidden,linked_card/permanent,linked_card/double_sided,linked_card/back_text,linked_card/back_flavor,linked_card/back_name,linked_card/octgn_id,linked_card/url,linked_card/imagesrc,restrictions/investigator/03002,restrictions/investigator/03003,restrictions/investigator/03004,restrictions/investigator/03005,restrictions/investigator/03006,linked_card/encounter_code,linked_card/encounter_name,linked_card/spoiler,deck_requirements/card/04006/04006,deck_requirements/card/04007/04007,deck_requirements/card/04008/04008,deck_requirements/card/04009/04009,deck_requirements/card/04010/04010,deck_requirements/card/04011/04011,deck_requirements/card/04012/04012,deck_options/2/faction/0,deck_options/3/faction/0,deck_options/3/faction/1,deck_options/3/level/min,deck_options/3/level/max,deck_options/3/limit,deck_requirements/card/04013/04013,deck_requirements/card/04014/04014,deck_requirements/card/04015/04015,deck_requirements/card/04016/04016,restrictions/investigator/04001,restrictions/investigator/04002,restrictions/investigator/04003,restrictions/investigator/04004,restrictions/investigator/04005,deck_requirements/card/05007/98011,deck_requirements/card/05007/05007,deck_requirements/card/05008/98012,deck_requirements/card/05008/05008,deck_options/3/text/0,deck_options/4/faction/0,deck_options/4/faction/1,deck_options/4/level/min,deck_options/4/level/max,deck_options/4/limit,deck_options/4/error,deck_requirements/card/05009/05009,deck_requirements/card/05010/05010,deck_requirements/card/05011/05011,deck_requirements/card/05012/05012,deck_requirements/card/05013/05013,deck_requirements/card/05014/05014,deck_requirements/card/05015/05015,deck_requirements/card/05016/05016,deck_requirements/card/05017/05017,deck_requirements/card/05018/05018,deck_requirements/card/05019/05019,deck_options/3/trait/0,restrictions/investigator/98010,restrictions/investigator/05001,restrictions/investigator/05002,restrictions/investigator/05003,restrictions/investigator/05004,restrictions/investigator/05005,restrictions/investigator/05006,faction2_code,faction2_name,bonded_cards/0/count,bonded_cards/0/code,bonded_to,bonded_count,deck_requirements/card/06006/06006,deck_requirements/card/06007/06007,deck_requirements/card/06008/06008,deck_requirements/card/06009/06009,deck_options/0/name,deck_options/0/deck_size_select/0,deck_options/0/deck_size_select/1,deck_options/0/deck_size_select/2,deck_options/2/name,deck_options/2/faction_select/0,deck_options/2/faction_select/1,deck_options/2/faction_select/2,deck_options/2/type/0,deck_options/2/type/1,deck_requirements/card/06010/06010,deck_requirements/card/06011/06011,deck_requirements/card/06012/06012,deck_options/1/name,deck_options/1/faction_select/0,deck_options/1/faction_select/1,deck_options/1/faction_select/2,deck_options/1/type/0,deck_options/1/type/1,deck_requirements/card/06013/06013,deck_requirements/card/06014/06014,deck_requirements/card/06016/06016,deck_requirements/card/06017/06017,restrictions/investigator/06001,restrictions/investigator/06002,restrictions/investigator/06003,restrictions/investigator/06004,shroud,clues,restrictions/investigator/06005,bonded_cards/1/count,bonded_cards/1/code,bonded_cards/2/count,bonded_cards/2/code,deck_requirements/card/07006/07006,deck_requirements/card/07007/07007,deck_requirements/card/07008/07008,deck_requirements/card/07009/07009,deck_requirements/card/07010/07010,deck_requirements/card/07011/07011,deck_requirements/card/07012/98017,deck_requirements/card/07012/07012,deck_requirements/card/07013/98018,deck_requirements/card/07013/07013,deck_requirements/card/07014/98014,deck_requirements/card/07014/07014,deck_requirements/card/07015/98014,deck_requirements/card/07015/07015,deck_requirements/card/07016/98015,deck_requirements/card/07016/07016,restrictions/investigator/07001,restrictions/investigator/07002,restrictions/investigator/07003,restrictions/investigator/07004,restrictions/investigator/98013,restrictions/investigator/07005,deck_requirements/card/08002/08002,deck_requirements/card/08003/08003,deck_options/3/error,restrictions/investigator/08001,deck_requirements/card/08005/98008,deck_requirements/card/08005/08005,deck_requirements/card/08006/98009,deck_requirements/card/08006/08006,restrictions/investigator/98007,restrictions/investigator/08004,deck_requirements/card/08008/08008,deck_requirements/card/08009/08009,restrictions/investigator/08007,deck_requirements/card/08015/08015,restrictions/investigator/08010,deck_requirements/card/08017/08017,deck_requirements/card/08018/08018,restrictions/investigator/08016,faction3_code,faction3_name,deck_options/0/slot/0,deck_requirements/card/60102/60102,deck_requirements/card/60103/60103,restrictions/investigator/60101,deck_requirements/card/60202/60202,deck_requirements/card/60203/60203,restrictions/investigator/60201,deck_requirements/card/60302/60302,deck_requirements/card/60303/60303,restrictions/investigator/60301,deck_requirements/card/60402/60402,deck_requirements/card/60403/60403,restrictions/investigator/60401,deck_requirements/card/60502/60502,deck_requirements/card/60503/60503,restrictions/investigator/60501,alternate_of_code,alternate_of_name,deck_options/1/trait/1,deck_options/2/trait/1,restrictions/investigator/98016,deck_requirements/card/98020/98020,deck_requirements/card/98021/98021,restrictions/investigator/98019,deck_requirements/card/99002/99002,deck_requirements/card/99003/99003,restrictions/investigator/99001
core,Core Set,treachery,Treachery,basicweakness,Basic Weakness,neutral,Neutral,1000,false,false,01000,Random Basic Weakness,Random Basic Weakness,"This is a placeholder random basic weakness
 You can replace it with a specific weakness using the Special tab or click the random button to replace it with a random weakness from your collection.","This is a placeholder random basic weakness
 You can replace it with a specific weakness using the Special tab or click the random button to replace it with a random weakness from your collection.",1,false,1,,,,false,true,false,false,https://arkhamdb.com/card/01000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,,,guardian,Guardian,1,false,false,01001,Roland Banks,Roland Banks,"[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)
[elder_sign] effect: +1 for each clue on your location.","[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)
[elder_sign] effect: +1 for each clue on your location.",1,false,1,,Agency. Detective.,Agency. Detective.,true,,false,true,https://arkhamdb.com/card/01001,The Fed,3,3,4,2,9,5,30,90030,98005,01006,90031,98006,01007,subtype,basicweakness,guardian,neutral,0,5,seeker,0,2,"Everything by the book: every ""i"" dotted, every ""t"" crossed. It has worked, until now.",Magali Villeneuve,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Guardian cards ([guardian]) level 0-5, Seeker cards ([seeker]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Roland's .38 Special, Cover Up, 1 random basic weakness.","Roland had always taken comfort in procedure and rules. As an agent in the Bureau, he was relieved to have guidelines to follow in any given situation. But lately, his Federal Agent's Handbook had been entirely unhelpful given the cases he'd been assigned. Try as he might, Roland could find no mention of what to do when confronted with strange creatures, gates through time and space, or magic spells. If he hadn't seen it with his own eyes, he would never have believed it... and there's no way his superiors would understand. Roland knew he would have to handle this one himself.",25f013a5-4ca2-4a34-9d03-e11e8ed93aaf:87041f6f-a325-4b5f-92b6-2df4d01790b1,/bundles/cards/01001.png,/bundles/cards/01001b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,,,seeker,Seeker,2,false,false,01002,Daisy Walker,Daisy Walker,"You may take an additional action during your turn, which can only be used on [[Tome]] [action] abilities.
[elder_sign] effect: +0. If you succeed, draw 1 card for each [[Tome]] you control.","You may take an additional action during your turn, which can only be used on [[Tome]] [action] abilities.
[elder_sign] effect: +0. If you succeed, draw 1 card for each [[Tome]] you control.",1,false,1,,Miskatonic.,Miskatonic.,true,,false,true,https://arkhamdb.com/card/01002,The Librarian,3,5,2,2,5,9,30,,,,,,,subtype,basicweakness,seeker,neutral,0,5,mystic,0,2,"""I know of books so powerful, they can rewrite reality.""",Magali Villeneuve,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Seeker cards ([seeker]) level 0-5, Mystic cards ([mystic]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Daisy’s Tote Bag, The Necronomicon (John Dee Translation), 1 random basic weakness.","As a respected librarian at Miskatonic University, Daisy had always felt that books were the most important thing in her life. She explored in fiction what she abhorred in life: horror, violence, fear. Then, she stumbled across the John Dee translation of the Necronomicon. It was blasphemous, unholy, and too awful to be read. But given her studies in obscure and occult subjects, Daisy knew there was more truth than fiction within the book's pages. She began to wonder what other secrets the restricted collection of the Orne Library held...",53463cb2-2261-4d8b-b948-d8f7a926ed79:8c96b7d1-18b8-40eb-830c-47a85cd1180f,/bundles/cards/01002.png,/bundles/cards/01002b.png,90002,01008,90003,01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,,,rogue,Rogue,3,false,false,01003,"""Skids"" O'Toole","""Skids"" O'Toole","[free] During your turn, spend 2 resources: You may take an additional action this turn. (Limit once per turn.)
[elder_sign] effect: +2. If you succeed, gain 2 resources.","[free] During your turn, spend 2 resources: You may take an additional action this turn. (Limit once per turn.)
[elder_sign] effect: +2. If you succeed, gain 2 resources.",1,false,1,,Criminal.,Criminal.,true,,false,true,https://arkhamdb.com/card/01003,The Ex-Con,2,3,3,4,8,6,30,,,,,,,subtype,basicweakness,rogue,neutral,0,5,guardian,0,2,"""I didn't get out of the joint just to watch the world end.""",Magali Villeneuve,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Rogue cards ([rogue]) level 0-5, Guardian cards ([guardian]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): On the Lam, Hospital Debts, 1 random basic weakness.","Skids hadn't planned on a life of crime. But sometimes doing the right thing means getting your hands dirty. The cops didn't care that Skids needed the money for his mother's operation. His mother died of her illness during the second year of his sentence. His cellmate, Brad Hollins, told him there were worse fates than death. He ranted and raved in a quiet voice every evening about the ""Old Ones"" and told Skids about bizarre adventures he'd had while dreaming. Skids didn't give it much thought until the night he woke to the sight of his cellmate bursting into flames. When Skids was finally released, he returned to Arkham, looking for answers.",4074eb1e-2341-4ff8-be20-d220621fa3c4:2df74e76-b199-433c-8f48-d2eaed044d56,/bundles/cards/01003.png,/bundles/cards/01003b.png,,,,,90009,01010,90010,01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,,,mystic,Mystic,4,false,false,01004,Agnes Baker,Agnes Baker,"[reaction] After 1 or more horror is placed on Agnes Baker: Deal 1 damage to an enemy at your location. (Limit once per phase.)
[elder_sign] effect: +1 for each horror on Agnes Baker.","[reaction] After 1 or more horror is placed on Agnes Baker: Deal 1 damage to an enemy at your location. (Limit once per phase.)
[elder_sign] effect: +1 for each horror on Agnes Baker.",1,false,1,,Sorcerer.,Sorcerer.,true,,false,true,https://arkhamdb.com/card/01004,The Waitress,5,2,2,3,6,8,30,,,,,,,subtype,basicweakness,mystic,neutral,0,5,survivor,0,2,"""I remember another life, one of sorcery and conquest.""",Magali Villeneuve,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Mystic cards ([mystic]) level 0-5, Survivor cards ([survivor]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Heirloom of Hyperborea, Dark Memory, 1 random basic weakness.","Agnes Baker may be just an unassuming waitress in this life, but in a previous life, in a time and age undreamed of in the modern world, she had been a powerful witch. It began when she found a strange artifact - a key of some kind - in a dusty collection of family belongings in her attic. When she touched it, the memories came flooding back, along with one word: ""Hyperborea."" The more she delved into the visions and memories of her former life, the stronger her powers grew... and the more frightened she became.",207654c5-69a2-467b-b4ab-bfeffd28d310:67a13aab-aaa8-404f-8c9b-594c453c217a,/bundles/cards/01004.png,/bundles/cards/01004b.png,,,,,,,,,90018,01012,90019,01013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,,,survivor,Survivor,5,false,false,01005,Wendy Adams,Wendy Adams,"[reaction] When you reveal a chaos token, choose and discard 1 card from your hand: Cancel that chaos token and return it to the bag. Reveal a new chaos token. (Limit once per test/ability.)
[elder_sign] effect: +0. If Wendy's Amulet is in play, you automatically succeed instead.","[reaction] When you reveal a chaos token, choose and discard 1 card from your hand: Cancel that chaos token and return it to the bag. Reveal a new chaos token. (Limit once per test/ability.)
[elder_sign] effect: +0. If Wendy's Amulet is in play, you automatically succeed instead.",1,false,1,,Drifter.,Drifter.,true,,false,true,https://arkhamdb.com/card/01005,The Urchin,4,3,1,4,7,7,30,,,,,,,subtype,basicweakness,survivor,neutral,0,5,rogue,0,2,,Jacob Murray,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Survivor cards ([survivor]) level 0-5, Rogue cards ([rogue]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Wendy's Amulet, Abandoned and Alone, 1 random basic weakness.","Mama used to let Wendy play with her necklace when she was small. Mama would tell her stories, and Wendy would spin the necklace and watch as it glittered. Then, word came that her father had been lost at sea, and Mama started acting strange, drawing unusual symbols in chalk all over the house. They took Mama to the asylum, and Wendy went to the orphanage. Before they took her away, Mama gave her the necklace, to ""protect her."" Wendy stayed in the orphanage for several years before running away, deciding that she could take better care of herself on her own.",e8b6e380-16f3-40d7-af47-484db614ea18:86358d81-3a3e-40ba-999b-903a1c0d9365,/bundles/cards/01005.png,/bundles/cards/01005b.png,,,,,,,,,,,,,01014,01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,,,neutral,Neutral,6,false,false,01006,Roland's .38 Special,Roland's .38 Special,"Roland Banks deck only.
Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack (if there are 1 or more clues on your location, you get +3 [combat], instead). This attack deals +1 damage.","Roland Banks deck only.
Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack (if there are 1 or more clues on your location, you get +3 [combat], instead). This attack deals +1 damage.",1,false,1,Hand,Item. Weapon. Firearm.,Item. Weapon. Firearm.,true,,false,false,https://arkhamdb.com/card/01006,,,,1,1,,,,,,,,,,,,,,,,,,,,Tiziano Baracchi,,,4bb7b957-a180-4421-ad42-49704e11a3a5,/bundles/cards/01006.png,,,,,,,,,,,,,,,,3,1,Hand,01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,treachery,Treachery,weakness,Weakness,neutral,Neutral,7,false,false,01007,Cover Up,Cover Up,"<b>Revelation</b> - Put Cover Up into play in your threat area, with 3 clues on it.
[reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.
<b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.","<b>Revelation</b> - Put Cover Up into play in your threat area, with 3 clues on it.
[reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.
<b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.",1,false,1,,Task.,Task.,false,,false,false,https://arkhamdb.com/card/01007,,,,,,,,,,,,,,,,,,,,,,,,,Marcin Jakubowski,,,bc0a93e3-6643-49a2-9acc-8eaf681f4b2f,/bundles/cards/01007.png,,,,,,,,,,,,,,,,,,,01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,,,neutral,Neutral,8,false,false,01008,Daisy's Tote Bag,Daisy's Tote Bag,"Daisy Walker deck only.
You have 2 additional hand slots, which can only be used to hold [[Tome]] assets.","Daisy Walker deck only.
You have 2 additional hand slots, which can only be used to hold [[Tome]] assets.",1,false,1,,Item.,Item.,true,,false,false,https://arkhamdb.com/card/01008,,1,1,,,,,,,,,,,,,,,,,,,,,,Dani Hartel,,,48a42717-bbe7-45b3-bf10-14f741a69c9f,/bundles/cards/01008.png,,,,,,,,,,,,,,,,2,1,,,01002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,weakness,Weakness,neutral,Neutral,9,false,false,01009,The Necronomicon,The Necronomicon,"<b>Revelation</b> - Put The Necronomicon into play in your threat area, with 3 horror on it. It cannot leave play while it has 1 or more horror on it.
Treat each [elder_sign] you reveal on a chaos token as a [auto_fail].
[action]: Move 1 horror from The Necronomicon to Daisy Walker. Then, if The Necronomicon has no horror on it, discard it.","<b>Revelation</b> - Put The Necronomicon into play in your threat area, with 3 horror on it. It cannot leave play while it has 1 or more horror on it.
Treat each [elder_sign] you reveal on a chaos token as a [auto_fail].
[action]: Move 1 horror from The Necronomicon to Daisy Walker. Then, if The Necronomicon has no horror on it, discard it.",1,false,1,Hand,Item. Tome.,Item. Tome.,false,,false,false,https://arkhamdb.com/card/01009,John Dee Translation,,,,,,,,,,,,,,,,,,,,,,,,Jesse Mead,,,ea28042e-36f2-4de2-bfcc-3fbff1fd3119,/bundles/cards/01009.png,,,,,,,,,,,,,,,,,,Hand,,01002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
